institute,branch,years,tier,notes
IIT Bombay,Aerospace Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Bombay,Applied Geophysics,2025,C,
IIT Bombay,BS in Mathematics,"2024,2025",B,Bimodal — high-pay tail (quant / SDE / consulting) exists but median sits below A
IIT Bombay,Chemical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Bombay,Chemistry,"2024,2025",C,
IIT Bombay,Civil Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Bombay,Computer Science and Engineering,"2024,2025",A,
IIT Bombay,Economics,"2024,2025",A,"Modal high-pay outcome is consulting / IB / finance, not CS — reliable recruiting at top-7 IIT"
IIT Bombay,Electrical Engineering,"2024,2025",A,
IIT Bombay,Energy Engineering,"2024,2025",C,
IIT Bombay,Engineering Physics,"2024,2025",A,
IIT Bombay,Environmental Science and Engineering,"2024,2025",C,
IIT Bombay,Industrial Engineering and Operations Research,"2024,2025",A,"Modal high-pay outcome is consulting / IB / finance, not CS — reliable recruiting at top-7 IIT"
IIT Bombay,Mechanical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Bombay,Metallurgical Engineering and Materials Science,"2024,2025",C,
IIT Delhi,Abu Dhabi Campus - Chemical Engineering,2025,,"IIT Delhi Abu Dhabi Campus — opened 2024, no Indian-campus track record; placement reality unclear"
IIT Delhi,Abu Dhabi Campus - Computer Science and Engineering,2025,,"IIT Delhi Abu Dhabi Campus — opened 2024, no Indian-campus track record; placement reality unclear"
IIT Delhi,Abu Dhabi Campus - Energy Engineering,2025,,"IIT Delhi Abu Dhabi Campus — opened 2024, no Indian-campus track record; placement reality unclear"
IIT Delhi,Biotechnology and Biochemical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Delhi,Chemical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Delhi,Chemistry,2025,C,
IIT Delhi,Civil Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Delhi,Computer Science and Engineering,"2024,2025",A,
IIT Delhi,Design,2025,,Brand-new Design program at IITD; outcomes unclear
IIT Delhi,Electrical Engineering,"2024,2025",A,
IIT Delhi,Electrical Engineering (Power and Automation),"2024,2025",A,
IIT Delhi,Energy Engineering,"2024,2025",C,
IIT Delhi,Engineering Physics,"2024,2025",A,
IIT Delhi,Engineering and Computational Mechanics,"2024,2025",C,
IIT Delhi,Materials Engineering,"2024,2025",C,
IIT Delhi,Mathematics and Computing,"2024,2025",A,
IIT Delhi,Mechanical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Delhi,Production and Industrial Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Delhi,Textile Technology,"2024,2025",C,
IIT Dharwad,Chemical and Biochemical Engineering,"2024,2025",C,
IIT Dharwad,Civil and Infrastructure Engineering,"2024,2025",C,
IIT Dharwad,Computer Science and Engineering,"2024,2025",B,CS core at newer IIT — pool likely but median can materially lag top IITs
IIT Dharwad,Electrical and Electronics Engineering,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Dharwad,Electronics and Communication Engineering,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Dharwad,Engineering Physics,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Dharwad,Interdisciplinary Sciences,"2024,2025",C,
IIT Dharwad,Mathematics and Computing,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Dharwad,Mechanical Engineering,"2024,2025",C,
IIT Gandhinagar,Artificial Intelligence,"2024,2025",A,
IIT Gandhinagar,Chemical Engineering,"2024,2025",C,
IIT Gandhinagar,Civil Engineering,"2024,2025",C,
IIT Gandhinagar,Computer Science and Engineering,"2024,2025",A,
IIT Gandhinagar,Electrical Engineering,"2024,2025",A,
IIT Gandhinagar,Integrated Circuit Design & Technology,"2024,2025",A,
IIT Gandhinagar,Materials Engineering,"2024,2025",C,
IIT Gandhinagar,Mechanical Engineering,"2024,2025",C,
IIT Goa,Computer Science and Engineering,"2024,2025",B,CS core at newer IIT — pool likely but median can materially lag top IITs
IIT Goa,Electrical Engineering,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Goa,Mathematics and Computing,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Goa,Mechanical Engineering,"2024,2025",C,
IIT Guwahati,Biosciences and Bioengineering,"2024,2025",C,
IIT Guwahati,Chemical Engineering,"2024,2025",C,
IIT Guwahati,Chemical Science and Technology,"2024,2025",C,
IIT Guwahati,Civil Engineering,"2024,2025",C,
IIT Guwahati,Computer Science and Engineering,"2024,2025",A,
IIT Guwahati,Data Science and Artificial Intelligence,"2024,2025",A,
IIT Guwahati,Electronics and Communication Engineering,"2024,2025",A,
IIT Guwahati,Electronics and Electrical Engineering,"2024,2025",A,
IIT Guwahati,Energy Engineering,"2024,2025",C,
IIT Guwahati,Engineering Physics,"2024,2025",A,
IIT Guwahati,Mathematics and Computing,"2024,2025",A,
IIT Guwahati,Mechanical Engineering,"2024,2025",C,
IIT Hyderabad,Artificial Intelligence,"2024,2025",A,
IIT Hyderabad,Biomedical Engineering,"2024,2025",C,
IIT Hyderabad,Biotechnology and Bioinformatics,"2024,2025",C,
IIT Hyderabad,Chemical Engineering,"2024,2025",C,
IIT Hyderabad,Civil Engineering,"2024,2025",C,
IIT Hyderabad,Computational Engineering,"2024,2025",B,Bimodal — high-pay tail (quant / SDE / consulting) exists but median sits below A
IIT Hyderabad,Computer Science and Engineering,"2024,2025",A,
IIT Hyderabad,Electrical Engineering,"2024,2025",A,
IIT Hyderabad,Electrical Engineering (IC Design and Technology),"2024,2025",A,
IIT Hyderabad,Engineering Physics,"2024,2025",A,
IIT Hyderabad,Engineering Science,"2024,2025",A,
IIT Hyderabad,Industrial Chemistry,"2024,2025",C,
IIT Hyderabad,Materials Science and Metallurgical Engineering,"2024,2025",C,
IIT Hyderabad,Mathematics and Computing,"2024,2025",A,
IIT Hyderabad,Mechanical Engineering,"2024,2025",C,
IIT Indore,Chemical Engineering,"2024,2025",C,
IIT Indore,Civil Engineering,"2024,2025",C,
IIT Indore,Computer Science and Engineering,"2024,2025",A,
IIT Indore,Electrical Engineering,"2024,2025",A,
IIT Indore,Engineering Physics,"2024,2025",A,
IIT Indore,Mathematics and Computing,"2024,2025",A,
IIT Indore,Mechanical Engineering,"2024,2025",C,
IIT Indore,Metallurgical Engineering and Materials Science,"2024,2025",C,
IIT Indore,Space Science and Engineering,2025,C,
IIT Indore,Space Sciences and Engineering,2024,C,
IIT Jammu,Chemical Engineering,"2024,2025",C,
IIT Jammu,Civil Engineering,"2024,2025",C,
IIT Jammu,Computer Science and Engineering,"2024,2025",B,CS core at newer IIT — pool likely but median can materially lag top IITs
IIT Jammu,Electrical Engineering,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Jammu,Engineering Physics,2025,B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Jammu,Materials Engineering,"2024,2025",C,
IIT Jammu,Mathematics and Computing,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Jammu,Mechanical Engineering,"2024,2025",C,
IIT Jodhpur,Artificial Intelligence and Data Science,"2024,2025",A,
IIT Jodhpur,Bio Engineering,"2024,2025",C,
IIT Jodhpur,Chemical Engineering,"2024,2025",C,
IIT Jodhpur,Chemistry with Specialization,"2024,2025",C,
IIT Jodhpur,Civil and Infrastructure Engineering,"2024,2025",C,
IIT Jodhpur,Computer Science and Engineering,"2024,2025",A,
IIT Jodhpur,Electrical Engineering,"2024,2025",A,
IIT Jodhpur,Electronics Engineering,2025,A,
IIT Jodhpur,Materials Engineering,"2024,2025",C,
IIT Jodhpur,Mechanical Engineering,"2024,2025",C,
IIT Jodhpur,Physics with Specialization,"2024,2025",C,
IIT Kanpur,Aerospace Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kanpur,Biological Sciences and Bioengineering,"2024,2025",C,
IIT Kanpur,Chemical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kanpur,Chemistry,"2024,2025",C,
IIT Kanpur,Civil Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kanpur,Computer Science and Engineering,"2024,2025",A,
IIT Kanpur,Earth Sciences,"2024,2025",C,
IIT Kanpur,Economics,"2024,2025",A,"Modal high-pay outcome is consulting / IB / finance, not CS — reliable recruiting at top-7 IIT"
IIT Kanpur,Electrical Engineering,"2024,2025",A,
IIT Kanpur,Materials Science and Engineering,"2024,2025",C,
IIT Kanpur,Mathematics and Scientific Computing,"2024,2025",A,
IIT Kanpur,Mechanical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kanpur,Physics,"2024,2025",C,
IIT Kanpur,Statistics and Data Science,"2024,2025",A,
IIT Kharagpur,Aerospace Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kharagpur,Agricultural and Food Engineering,"2024,2025",C,
IIT Kharagpur,Applied Geology,"2024,2025",C,
IIT Kharagpur,Architecture,"2024,2025",C,
IIT Kharagpur,Artificial Intelligence,"2024,2025",A,
IIT Kharagpur,Biotechnology and Biochemical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kharagpur,Chemical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kharagpur,Chemistry,"2024,2025",C,
IIT Kharagpur,Civil Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kharagpur,Computer Science and Engineering,"2024,2025",A,
IIT Kharagpur,Economics,"2024,2025",A,"Modal high-pay outcome is consulting / IB / finance, not CS — reliable recruiting at top-7 IIT"
IIT Kharagpur,Electrical Engineering,"2024,2025",A,
IIT Kharagpur,Electronics and Electrical Communication Engineering,"2024,2025",A,
IIT Kharagpur,Exploration Geophysics,"2024,2025",C,
IIT Kharagpur,Industrial and Systems Engineering,"2024,2025",A,"Modal high-pay outcome is consulting / IB / finance, not CS — reliable recruiting at top-7 IIT"
IIT Kharagpur,Instrumentation Engineering,"2024,2025",C,
IIT Kharagpur,Manufacturing Science and Engineering,"2024,2025",C,
IIT Kharagpur,Mathematics and Computing,"2024,2025",A,
IIT Kharagpur,Mechanical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Kharagpur,Metallurgical and Materials Engineering,"2024,2025",C,
IIT Kharagpur,Mining Engineering,"2024,2025",C,
IIT Kharagpur,Ocean Engineering and Naval Architecture,"2024,2025",C,
IIT Kharagpur,Physics,"2024,2025",C,
IIT Madras,Aerospace Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Madras,Artificial Intelligence and Data Analytics,"2024,2025",A,
IIT Madras,Biological Engineering,"2024,2025",C,
IIT Madras,Biological Science,"2024,2025",C,
IIT Madras,Chemical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Madras,Civil Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Madras,Computational Engineering and Mechanics,2025,B,"New IITM program; computational angle suggests some CS spillover, but core mechanics core may dominate. Watch over a year or two."
IIT Madras,Computer Science and Engineering,"2024,2025",A,
IIT Madras,Electrical Engineering,"2024,2025",A,
IIT Madras,Engineering Design,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Madras,Engineering Physics,"2024,2025",A,
IIT Madras,Instrumentation and Biomedical Engineering,2025,C,
IIT Madras,Mechanical Engineering,"2024,2025",B,Core engineering at top-5 IIT — real SDE / consulting spillover via placement strength
IIT Madras,Metallurgical and Materials Engineering,"2024,2025",C,
IIT Madras,Naval Architecture and Ocean Engineering,"2024,2025",C,
IIT Madras,Physics,"2024,2025",C,
IIT Mandi,B.Tech in General Engineering,"2024,2025",B,Bimodal — high-pay tail (quant / SDE / consulting) exists but median sits below A
IIT Mandi,B.Tech in Materials Science and Engineering,"2024,2025",C,
IIT Mandi,B.Tech in Mathematics and Computing,"2024,2025",A,
IIT Mandi,B.Tech in Microelectronics & VLSI,"2024,2025",A,
IIT Mandi,BS in Chemical Sciences,"2024,2025",C,
IIT Mandi,Bio Engineering,"2024,2025",C,
IIT Mandi,Civil Engineering,"2024,2025",C,
IIT Mandi,Computer Science and Engineering,"2024,2025",A,
IIT Mandi,Data Science and Artificial Intelligence,2025,A,
IIT Mandi,Data Science and Engineering,2024,A,
IIT Mandi,Electrical Engineering,"2024,2025",A,
IIT Mandi,Engineering Physics,"2024,2025",A,
IIT Mandi,Mechanical Engineering,"2024,2025",C,
IIT Palakkad,Civil Engineering,"2024,2025",C,
IIT Palakkad,Computer Science and Engineering,"2024,2025",B,CS core at newer IIT — pool likely but median can materially lag top IITs
IIT Palakkad,Data Science and Engineering,"2024,2025",B,CS core at newer IIT — pool likely but median can materially lag top IITs
IIT Palakkad,Electrical Engineering,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Palakkad,Mechanical Engineering,"2024,2025",C,
IIT Patna,Artificial Intelligence and Data Science,"2024,2025",A,
IIT Patna,B. Tech in CE. - M. Tech. in Geotechnical Engineering,"2024,2025",C,
IIT Patna,B. Tech in CE. - M. Tech. in Structural Engineering,"2024,2025",C,
IIT Patna,B. Tech. (CSE) and M.Tech in CSE,"2024,2025",C,
IIT Patna,B. Tech. (ECE) -M. Tech. in VLSI,"2024,2025",A,
IIT Patna,B. Tech. (EEE)-M. Tech. in (Power &. Control),"2024,2025",C,
IIT Patna,B. Tech. (ME) - M. Tech. in Mechatronics,"2024,2025",C,
IIT Patna,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),"2024,2025",A,
IIT Patna,B.Tech (Artificial Intelligence and Data Science) - MBA in Digital Business Management (IIM Bodh Gaya),"2024,2025",A,CS-core base; MBA is a bonus credential
IIT Patna,B.Tech (Chemical Engineering) - MBA in Hospital and Health Care Management (IIM Bodh Gaya),"2024,2025",C,Core branch + MBA — MBA helps with management/consulting roles but not CS-pool placements
IIT Patna,B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya),"2024,2025",C,Core branch + MBA — MBA helps with management/consulting roles but not CS-pool placements
IIT Patna,B.Tech (Civil Engineering) - MBA (IIM Bodh Gaya),"2024,2025",C,Core branch + MBA — MBA helps with management/consulting roles but not CS-pool placements
IIT Patna,B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya),"2024,2025",A,CS-core base; MBA is a bonus credential
IIT Patna,B.Tech (Electrical and Electronics Engineering) - MBA (IIM Bodh Gaya),"2024,2025",A,CS-pool base + MBA bonus
IIT Patna,B.Tech (Electronics and Communication Engineering) - MBA in Hospital and Healthcare Management (IIM Bodh Gaya),"2024,2025",A,CS-pool base + MBA bonus
IIT Patna,B.Tech (Engineering Physics) - MBA (IIM Bodh Gaya),"2024,2025",A,CS-pool base + MBA bonus
IIT Patna,B.Tech (Mathematics and Computing) - MBA in Digital Business Management (IIM Bodh Gaya),"2024,2025",A,CS-pool base + MBA bonus
IIT Patna,B.Tech (Mechanical Engineering) - MBA (IIM Mumbai),"2024,2025",C,Core branch + MBA — MBA helps with management/consulting roles but not CS-pool placements
IIT Patna,B.Tech (Metallurgical and Materials Engineering) - MBA (IIM Bodh Gaya),"2024,2025",C,Core branch + MBA — MBA helps with management/consulting roles but not CS-pool placements
IIT Patna,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,"2024,2025",A,
IIT Patna,BS in Economics with MBA (IIM Bodh Gaya),"2024,2025",B,Mixed-finance base + MBA — consulting recruiting less reliable at this institute
IIT Patna,Chemical Engineering,"2024,2025",C,
IIT Patna,Chemical Science and Technology,"2024,2025",C,
IIT Patna,Civil Engineering,"2024,2025",C,
IIT Patna,Computer Science and Engineering,"2024,2025",A,
IIT Patna,Economics,"2024,2025",B,Consulting / finance pool exists but recruiting is less reliable at this institute
IIT Patna,Electrical and Electronics Engineering,"2024,2025",A,
IIT Patna,Electronics and Communication Engineering,"2024,2025",A,
IIT Patna,Engineering Physics,"2024,2025",A,
IIT Patna,Mathematics and Computing,"2024,2025",A,
IIT Patna,Mechanical Engineering,"2024,2025",C,
IIT Patna,Metallurgical and Materials Engineering,"2024,2025",C,
IIT Roorkee,Architecture,"2024,2025",C,
IIT Roorkee,Biosciences and Bioengineering,"2024,2025",C,
IIT Roorkee,Chemical Engineering,"2024,2025",C,
IIT Roorkee,Chemical Sciences,"2024,2025",C,
IIT Roorkee,Civil Engineering,"2024,2025",C,
IIT Roorkee,Computer Science and Engineering,"2024,2025",A,
IIT Roorkee,Data Science and Artificial Intelligence,"2024,2025",A,
IIT Roorkee,Economics,"2024,2025",A,"Modal high-pay outcome is consulting / IB / finance, not CS — reliable recruiting at top-7 IIT"
IIT Roorkee,Electrical Engineering,"2024,2025",A,
IIT Roorkee,Electronics and Communication Engineering,"2024,2025",A,
IIT Roorkee,Energy Engineering,"2024,2025",C,
IIT Roorkee,Engineering Physics,"2024,2025",A,
IIT Roorkee,Geological Technology,"2024,2025",C,
IIT Roorkee,Geophysical Technology,"2024,2025",C,
IIT Roorkee,Mathematics & Computing,"2024,2025",A,
IIT Roorkee,Mechanical Engineering,"2024,2025",C,
IIT Roorkee,Metallurgical and Materials Engineering,"2024,2025",C,
IIT Roorkee,Physics,"2024,2025",C,
IIT Roorkee,Production and Industrial Engineering,"2024,2025",C,
IIT Ropar,Artificial Intelligence and Data Engineering,"2024,2025",A,
IIT Ropar,Chemical Engineering,"2024,2025",C,
IIT Ropar,Civil Engineering,"2024,2025",C,
IIT Ropar,Computer Science and Engineering,"2024,2025",A,
IIT Ropar,Digital Agriculture,2025,,Brand-new niche program; no track record
IIT Ropar,Electrical Engineering,"2024,2025",A,
IIT Ropar,Electrical Engineering (Integrated Circuit Design and Technology),2025,A,
IIT Ropar,Engineering Physics,"2024,2025",A,
IIT Ropar,Mathematics and Computing,"2024,2025",A,
IIT Ropar,Mechanical Engineering,"2024,2025",C,
IIT Ropar,Metallurgical and Materials Engineering,"2024,2025",C,
IIT Tirupati,Chemical Engineering,"2024,2025",C,
IIT Tirupati,Civil Engineering,"2024,2025",C,
IIT Tirupati,Computer Science and Engineering,"2024,2025",B,CS core at newer IIT — pool likely but median can materially lag top IITs
IIT Tirupati,Electrical Engineering,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Tirupati,Engineering Physics,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Tirupati,Mechanical Engineering,"2024,2025",C,
